timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1564624268,Thu Aug 01 2019 01:51:08 GMT+0000 (Coordinated Universal Time),7,0,0,0,-1,"I live in a large city"
1564624725,Thu Aug 01 2019 01:58:45 GMT+0000 (Coordinated Universal Time),20,0,287,11,1,"The Biodiversity Strategy should take an intergenerational view"
1564624376,Thu Aug 01 2019 01:52:56 GMT+0000 (Coordinated Universal Time),15,0,0,37,-1,"I am of Indian descent"
1564624387,Thu Aug 01 2019 01:53:07 GMT+0000 (Coordinated Universal Time),16,0,43,1,-1,"I am a NZ citizen or permanent resident"
1564624366,Thu Aug 01 2019 01:52:46 GMT+0000 (Coordinated Universal Time),14,0,0,38,-1,"I am of Asian descent"
1564624348,Thu Aug 01 2019 01:52:28 GMT+0000 (Coordinated Universal Time),12,0,0,37,-1,"I am of Pacific Island descent"
1564624196,Thu Aug 01 2019 01:49:56 GMT+0000 (Coordinated Universal Time),2,0,50,144,1,"I am 55 years old or older"
1564624246,Thu Aug 01 2019 01:50:46 GMT+0000 (Coordinated Universal Time),5,0,48,125,1,"I live in a NZ town (population less than 50,000)"
1564624327,Thu Aug 01 2019 01:52:07 GMT+0000 (Coordinated Universal Time),10,0,61,113,1,"I live in a rural area in NZ"
1564624259,Thu Aug 01 2019 01:50:59 GMT+0000 (Coordinated Universal Time),6,0,0,0,-1,"I live in a medium-sized city"
1564624315,Thu Aug 01 2019 01:51:55 GMT+0000 (Coordinated Universal Time),9,0,97,85,1,"I live in a large NZ city"
1564624209,Thu Aug 01 2019 01:50:09 GMT+0000 (Coordinated Universal Time),3,0,29,13,-1,"I am male"
1564624678,Thu Aug 01 2019 01:57:58 GMT+0000 (Coordinated Universal Time),17,0,279,35,1,"Aotearoa New Zealand’s biodiversity is in crisis"
1564624713,Thu Aug 01 2019 01:58:33 GMT+0000 (Coordinated Universal Time),19,0,303,11,1,"Ecosystems are interconnected and biodiversity should be managed in a coordinated way across boundaries"
1564624739,Thu Aug 01 2019 01:58:59 GMT+0000 (Coordinated Universal Time),21,0,235,35,1,"The Biodiversity Strategy should encourage innovation and action, even when information is incomplete"
1564624755,Thu Aug 01 2019 01:59:15 GMT+0000 (Coordinated Universal Time),22,0,276,40,1,"The Biodiversity Strategy needs to prioritise conserving our indigenous species"
1564624767,Thu Aug 01 2019 01:59:27 GMT+0000 (Coordinated Universal Time),23,0,314,6,1,"Our physical and mental health and prosperity depends on our natural environment"
1564624786,Thu Aug 01 2019 01:59:46 GMT+0000 (Coordinated Universal Time),24,0,292,6,1,"Biodiversity management decisions need to be informed by the best available information"
1564624803,Thu Aug 01 2019 02:00:03 GMT+0000 (Coordinated Universal Time),25,0,275,14,1,"Nature has the right to exist for its own sake, regardless of any benefits we may get from it"
1564624818,Thu Aug 01 2019 02:00:18 GMT+0000 (Coordinated Universal Time),26,0,293,26,1,"More money and resources must be spent to protect and restore biodiversity and ecosystem services"
