timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1732029245,Tue Nov 19 2024 15:14:05 GMT+0000 (Coordinated Universal Time),97,14,32,4,1,"There should be more consideration for all stakeholders, not just those in office. Misleading and lying aren't the way to gain popularity"
1732029238,Tue Nov 19 2024 15:13:58 GMT+0000 (Coordinated Universal Time),96,18,33,1,1,"VW managers focused on prioritizing market success over compliance causing them to not be transparent with all shareholders"
1732029225,Tue Nov 19 2024 15:13:45 GMT+0000 (Coordinated Universal Time),95,5,36,3,1,"Long term environmental efforts are important for long term gains"
1732029215,Tue Nov 19 2024 15:13:35 GMT+0000 (Coordinated Universal Time),94,17,37,4,1,"This scandal shows that there needs to be increased regulation on company practices, especially in regards to how they market their products"
1732029284,Tue Nov 19 2024 15:14:44 GMT+0000 (Coordinated Universal Time),98,17,39,2,1,"The public should have more access to product details to make informed decisions, rather than relying on what companies say"
1732029451,Tue Nov 19 2024 15:17:31 GMT+0000 (Coordinated Universal Time),99,10,25,11,1,"VW shouldn't put long-term environmental impacts above long-term profit, but they should not deceive their customer base nonetheless"
1731630732,Fri Nov 15 2024 00:32:12 GMT+0000 (Coordinated Universal Time),0,0,34,3,1,"Managers had an absolute duty to be truthful about emissions, regardless of consequences"
1731630742,Fri Nov 15 2024 00:32:22 GMT+0000 (Coordinated Universal Time),1,0,28,3,1,"Environmental promises create binding moral obligations, not just marketing claims"
1731630756,Fri Nov 15 2024 00:32:36 GMT+0000 (Coordinated Universal Time),2,0,33,10,1,"VW managers had a duty of care to people harmed by excess emissions"
1731630769,Fri Nov 15 2024 00:32:49 GMT+0000 (Coordinated Universal Time),3,0,36,3,1,"The duty to obey environmental laws cannot be overridden by business necessity"
1731973381,Mon Nov 18 2024 23:43:01 GMT+0000 (Coordinated Universal Time),4,0,16,18,1,"The economic benefits of keeping VW competitive outweighed the environmental costs"
1731973393,Mon Nov 18 2024 23:43:13 GMT+0000 (Coordinated Universal Time),5,0,31,10,1,"Small increases in emissions from each car created massive cumulative harm"
1731973405,Mon Nov 18 2024 23:43:25 GMT+0000 (Coordinated Universal Time),6,0,39,3,1,"Managers should have considered the long-term consequences for VW's reputation"
1731973417,Mon Nov 18 2024 23:43:37 GMT+0000 (Coordinated Universal Time),7,0,33,5,1,"The defeat device was wrong because it undermined trust in environmental regulations"
1731973429,Mon Nov 18 2024 23:43:49 GMT+0000 (Coordinated Universal Time),8,0,37,6,1,"People have a fundamental right to know what they're breathing"
1731973437,Mon Nov 18 2024 23:43:57 GMT+0000 (Coordinated Universal Time),9,0,32,3,1,"Future generations have a right to inherit a livable environment"
1731973446,Mon Nov 18 2024 23:44:06 GMT+0000 (Coordinated Universal Time),10,0,37,3,1,"Customers had a right to know the true environmental impact of their vehicles"
1731973457,Mon Nov 18 2024 23:44:17 GMT+0000 (Coordinated Universal Time),11,0,24,14,1,"Communities had a right to decide if they wanted higher-polluting vehicles on their roads"
1731973479,Mon Nov 18 2024 23:44:39 GMT+0000 (Coordinated Universal Time),12,0,37,4,1,"The scandal shows why we can't trust markets alone to protect the environment"
1731973493,Mon Nov 18 2024 23:44:53 GMT+0000 (Coordinated Universal Time),13,0,30,11,1,"Competition in the auto industry creates pressure to cheat on environmental standards"
1731973503,Mon Nov 18 2024 23:45:03 GMT+0000 (Coordinated Universal Time),14,0,36,10,1,"Consumers lack information to make truly environmentally conscious choice"
1731973520,Mon Nov 18 2024 23:45:20 GMT+0000 (Coordinated Universal Time),15,0,36,3,1,"Short-term market pressures led managers to discount long-term environmental harms"
1731973532,Mon Nov 18 2024 23:45:32 GMT+0000 (Coordinated Universal Time),16,0,31,11,1,"VW's deception disproportionately harmed vulnerable urban communities"
1731973546,Mon Nov 18 2024 23:45:46 GMT+0000 (Coordinated Universal Time),17,0,28,14,1,"Profits from environmental cheating should go to communities most harmed by pollution"
1731973557,Mon Nov 18 2024 23:45:57 GMT+0000 (Coordinated Universal Time),18,0,34,6,1,"Managers ignored how excess emissions would affect already-polluted areas"
1731973569,Mon Nov 18 2024 23:46:09 GMT+0000 (Coordinated Universal Time),19,0,25,12,1,"The burden of proof for environmental safety should fall on corporations, not communities"
1731973579,Mon Nov 18 2024 23:46:19 GMT+0000 (Coordinated Universal Time),20,0,20,14,1,"Environmental standards should protect the most vulnerable, not the average person"
1731973645,Mon Nov 18 2024 23:47:25 GMT+0000 (Coordinated Universal Time),21,0,35,11,1,"Managers had a duty to protect public health that overrode their obligations to shareholders"
1731973656,Mon Nov 18 2024 23:47:36 GMT+0000 (Coordinated Universal Time),22,0,21,10,1,"VW only had an obligation to follow the letter of emissions laws, not exceed them"
1731973672,Mon Nov 18 2024 23:47:52 GMT+0000 (Coordinated Universal Time),23,0,33,12,1,"Managers were morally responsible for future environmental damage, even if the effects were indirect"
1731973685,Mon Nov 18 2024 23:48:05 GMT+0000 (Coordinated Universal Time),24,0,30,4,1,"The company's promise of 'clean diesel' created a special ethical obligation beyond just meeting regulations"
1731973699,Mon Nov 18 2024 23:48:19 GMT+0000 (Coordinated Universal Time),25,0,21,14,1,"Managers' primary moral duty was to protect VW workers' jobs and livelihoods"
1731973710,Mon Nov 18 2024 23:48:30 GMT+0000 (Coordinated Universal Time),26,0,35,11,1,"Environmental harm from emissions should have been weighed against the economic benefits VW brought to society"
1731973720,Mon Nov 18 2024 23:48:40 GMT+0000 (Coordinated Universal Time),27,0,29,4,1,"Future generations' right to clean air outweighed immediate business pressures"
1731973730,Mon Nov 18 2024 23:48:50 GMT+0000 (Coordinated Universal Time),28,0,31,11,1,"Managers had no right to make environmental trade-offs on behalf of unknowing customers"
1731973807,Mon Nov 18 2024 23:50:07 GMT+0000 (Coordinated Universal Time),29,0,14,22,1,"Managers' only environmental obligation was to maximize shareholder value within the law"
1731973815,Mon Nov 18 2024 23:50:15 GMT+0000 (Coordinated Universal Time),30,0,16,20,1,"Environmental compliance is only justified when it serves long-term shareholder interests"
1731973829,Mon Nov 18 2024 23:50:29 GMT+0000 (Coordinated Universal Time),31,0,34,3,1,"Managers betrayed shareholders by taking environmental risks that threatened VW's value"
1731973839,Mon Nov 18 2024 23:50:39 GMT+0000 (Coordinated Universal Time),32,0,23,18,1,"Environmental investments beyond legal requirements wrongly spend shareholders' money"
1731973849,Mon Nov 18 2024 23:50:49 GMT+0000 (Coordinated Universal Time),33,0,40,4,1,"The scandal shows why focusing solely on shareholder value leads to ethical failures"
1731973859,Mon Nov 18 2024 23:50:59 GMT+0000 (Coordinated Universal Time),34,0,38,3,1,"Managers should have considered how environmental cheating could harm stock value"
1731973870,Mon Nov 18 2024 23:51:10 GMT+0000 (Coordinated Universal Time),35,0,29,9,1,"Managers had equal obligations to employees, communities, customers, and the environment"
1731973881,Mon Nov 18 2024 23:51:21 GMT+0000 (Coordinated Universal Time),36,0,35,4,1,"VW failed by prioritizing some stakeholders (shareholders/customers) over others (communities/environment)"
1731973890,Mon Nov 18 2024 23:51:30 GMT+0000 (Coordinated Universal Time),37,0,30,6,1,"Effective stakeholder management would have prevented the emissions scandal"
1731973899,Mon Nov 18 2024 23:51:39 GMT+0000 (Coordinated Universal Time),38,0,39,3,1,"Managers should have consulted environmental stakeholders before making emissions decisions"
1731973907,Mon Nov 18 2024 23:51:47 GMT+0000 (Coordinated Universal Time),39,0,27,4,1,"The scandal shows why companies need formal processes to weigh competing stakeholder interests"
1731973916,Mon Nov 18 2024 23:51:56 GMT+0000 (Coordinated Universal Time),40,0,36,13,1,"Environmental stakeholders deserved the same consideration as financial stakeholders"
